Rosalia;Pikku;Charly
-66;4;132
126;144;264
318;214;462
414;529;627
510;704;726
846;914;858
1038;1509;924
1422;1614;1023
1566;2034;1254
1758;2174;1419
1902;2489;1551
2142;2699;1716
2334;2804;1782
2718;3224;1914
3054;3434;1980
3294;3504;2145
3390;3679;2244
3582;3784;2475
3726;4134;2640
4014;4274;2805
4254;4449;2970
4398;4589;3135
4686;5044;3366
4974;5219;3498
5310;5534;3630
5550;5814;3729
5694;6199;3960
5982;6654;4059
6270;6829;4191
6558;7109;4290
6798;7529;4488
7086;7634;4620
7182;7809;4785
7278;8439;4950
7518;8614;5214
8046;9139;5412
8286;;5544
8574;;5709
8958;;5874
9486;;5973
9630;;6138
9870;;6303
10110;;6501
10254;;6666
10590;;6930
;;7194
;;7392
;;7491
;;7557
